text,label
家に帰るなり、父から「どこ行ってきたんや。」って…。いつも何も言わないのに…。そして、なぜ言わねばならんのだ！郵便局いっただけだよ…。言わないけどね。,4
どこの30秒削るんだろ,2
上位互換が手に入ったからって下位互換のものをあっさり捨てるのは大人のやることだよ,1
参入障壁と希少性を上げていかないと生き残れないわなぁ(・・;)\n\n誰にでもできる仕事で食っていくには限界があるというのは定説。\n\n自分にしかできないことをいかにやっていくか、それに尽きる。,1
それで仕事回せるならみんなしないでしょ！残業！,4
いきなりステーキけっこう閉店してるのか　行ったことないけど,3
さすが哀ちゃん。,7
ちょっと周りにイケメンが多いですな。。。( ??ω?? ),5
メレンゲのかねちちょっとお上品で好き,0
暑い…アイス食べたい…,1
連休すよ。アベンジャーズとスパイダーバースをいつ見に行くかすよ,2
夕方うーばーいーつで届けてもろたクレープ食べよう……仕事は忘れていい。帰って、家があったらがんばろう。,2
最近のバスではマック食べるし長電話するしイヤホン音漏れさせるし女子校生のパンツ見えるんだね。,6
ごめバンドの割には気合入ってるくるり,3
早田ひな選手可愛いなぁ。。。,0
ウチはもう猫飼えないからどうしょうもないんだけど…無事を祈るよ…子猫ちゃん,2
夕飯までまだ1時間もあるやん,3
今の同軸スプ世界記録更新するには技術力というよりかは筋肉の方が重要そう,2
目覚まし時計、1時間ぐらい無視し続けとったがな。,1
これはやばくない？,3
すでに聖地巡礼したい,2
引用リツイート欄の方が怖い率高いな,5
友達ほしい、ご飯一緒に食べたい、愚痴言い合いたい、笑いたい！,2
雨降ってんのにクレベリン首から提げてる人いるんだけど…………,3
緊急事態宣言解除で、明日からとか11日から営業再開するところが増えて嬉しい。 と買い物に行くと、クラスターなんだろうな。 個人的には必要急だけど、他の人から見たそうでないと思われそうだけど。,4
寒い、お腹空いた\n今食べると夜ご飯食べられなくなるから我慢\nお腹空いた,6
コオロギとエビは成分ほぼ一緒だよっていうやついるけど、それならわいだって本田翼とほぼ同じ成分やぞ,1
お正月用の黒豆が100円で見切られていたので炊いてみる。おばあちゃんが黒豆よく作ってたけど、自分でするのは初めて。,2
おい上のおすすめはAmazonプライムビデオとかNetflixとか。\nNetflixでみれるんだけどルポールのドラァグレースっていう、アメリカNo.1ドラァグクィーンを賭けて勝ち抜いてくリアリティショー番組がめちゃめちゃオススメだからみて。\n（超個人的な意見）,2
