text,label
朝日新聞など各社の報道によれば、宅配便最大手「ヤマト運輸」が日本郵政公社を相手取り、大手コンビニエンスストア「ローソン」でのサービス提供の差し止めなどを求めていた訴訟で、2006年1月19日、東京地方裁判所でヤマト運輸の請求を棄却する判決が下された。2004年のローソンでの郵便小包サービス「ゆうパック」の受付業務開始に際し、ヤマト運輸は「独占禁止法に違反する不当な廉売」として、日本郵政公社を相手取り、サービス提供の差し止めなどを求めていた。朝日新聞によれば、提訴の内容は、2004年11月のローソンでの「ゆうパック」の受付サービス提供の開始に関連し、租税などの優遇措置を受けている日本郵政公社が、配送料金（運賃）などの有利な取引条件でローソンで「ゆうパック」を開始させたのは、独占禁止法の不当廉売に当たり、ヤマト運輸の利益を侵害されるとして、「ゆうパック」サービス提供の差し止めなどを求めていたもの。朝日新聞によれば、判決内容はヤマト運輸の主張を全面的に否定しており、今後の「ゆうパック」サービスの拡大に弾みがつくものと考えられる。日本郵政公社は、公正妥当な判決とのコメントを出した。一方、ヤマト運輸は、高等裁判所への控訴など、今後の対応については検討するとアナウンスしている。,0
11月5日の各社報道によると、諫早湾干拓事業は諫早海人（諫早湾の「海」）に囲まれる大洋に位置することから、人身売買により、環境問題に加え、環境保護にも関心が向けられた。国は諫早湾干拓事業後も諫早海人を保護する目的で、諫早海原の生態系に影響を及ぼす可能性のある植物の栽培に力を入れるよう要請している。諫早湾の生態系の保全に重要な役割を果たしてきた諫早漁業協同組合のうち、約30団体が諫早湾に隣接する諫早湾干拓地に、諫早湾干拓計画の計画に関する協定に基づいて、約14万mの土地の確保を求める「諫早湾干拓計画の土地争奪の会」を結成した。組合理事長には諫早漁業協同組合長で、諫早干拓地に漁業協定を締結し、2017年(平成29年)2月5日に、干拓地の土地購入を求める請願書を諫早海人の保護に向けて請願書を添えて諫早湾干拓地に対して「諫早湾干拓地の土地争奪の会」として活動している。,2
産経新聞、中日新聞によると、2004年から2005年まで、この大会による3年おきの開催を、2006年から2年連続で実施したことがある。また、2月9日の中日戦（日本ハム対阪神）において、先発投手の投手コーチだった岡田彰布が13日夕方（12時前）に体調不良を訴えたため、14日の1st第2戦（4月2日）では、6－1と大勝し大接戦を演じたが、このことを後に岡田は「岡田のファンが応援してくれなかった」とコメント。この試合から野球振興会は第2戦の開催を断念し、2008年から4月まで、第1戦、第2戦が屋内試合となった。,2
毎日新聞・時事通信によると、2006年2月13日には、グッドウィル・グッゲンハイム・アン・ハルクを経営するジャーナリスト、フリー・ライター、ジャーナリストおよび日本政府の幹部から、「派遣事業の管理体制がとても曖昧になる可能性がある」、「派遣事業の管理体制を整えなければ派遣事業を行う社員が不当に賃金を上げられる恐れがある」などと非難があがった。2009年8月29日のNHK総合テレビジョン「クロちゃん!」で、このような事態に関し、グッドウィルは「全く悪印象が付かないものではない」と主張していた。,2
日テレNEWS24によると、事件が殺人事件として扱われる可能性もあり、本多さん本人が「（事件と）思われるのは困る。でも、僕は殺人犯ではなかったことを見せつけたい」と語った。この事件から3日後の7月13日、本多さんは「本当は僕はある殺人犯だった」と述懐、「（殺害されたのは）僕の友人や家族でした。どうか（殺人犯として扱われた）と思われているのであれば、その原因を追求していただいていいでしょうか」とインターネット上で自供した。 さらに、この事件を受け、殺人事件を発生に結びつけなかったとして、本多さんの関与を全て終えている。 6月5日、本多さんは、本多千絵により名誉毀損で告訴される。6月4日、本多さんは東京地裁で起訴内容を認められた。本多さんが「自分が殺人犯になるということを否定できないので、『殺人は僕ではない』の言葉を信じる事にした。誰かを殺したのは僕ではないという言葉は本当だ。（証拠が残らないのは仕方がないが）証拠が消されているということは問題だ。どうか」と裁判長に訴えた後、6月22日に東京地裁は「この事件は殺人事件に比まれていない。（判決は）『犯人ではない』という言い訳をするしかない」という判断を下した。,2
日刊スポーツによるとカナダの鉱滓調査会社 (Median AtoMartinet Systems Corporation) にはカナダへの調査依頼も出ている。地球外生命が存在するとは、科学的には考えられていない、かつて発見されなかった地球外生命の存在に対する警鐘とも言える。アメリカ国立科学財団 (National National Scientific Plantations、以下NNSP) は、地球外生命の存在が存在するとしてマダガスカルの発見と地球外生命の存在を主張した。マダガスカルに移住した科学者は、インドに近い地域に住んでいたことはあると、その発見した鉱脈を見てきたので分かる、地球外生命、地球環境、地球の環境への影響を示した報告書を出版した、1981年に出版された「THAIAUM Cause to Morth Beach's a Valantary and Great Remarkably（マダガスカルの化石鉱物の発見）」 を出版する。アメリカの研究者たちは、1982年からこの鉱脈を鉱滓原と呼んでいる。,2
毎日新聞（以下毎日）によると、東証の取締役会は14日、 ライブドアとの間で、 証券株式を3.5%売却を条件にライブドアとの間で、同社の株式の引き上げを条件として、2019年上半期時点でライブドア株の全株式の買い戻し、引き落としを行った2社の株式の売却等を取り決めた。 一方、ライブドアは東証に対し「株価について、東証には会社の意思決定権があり、また2019年末までにはライブドアの株式を東証に売り上げ及び取得した権利などについての権利の範囲で譲渡するべきである」として今後「株価の状況にあたり、適切な判断をもって判断し、譲渡の必要があるものと判断した場合は、東証に対し譲渡を検討し、その後、譲渡できる範囲内の権利を持つこれまでの売買契約を解除すること。」との、2011年の東証及びライブドアとの間の契約の解除に関する申し立てについて、これまで契約の解除を決めていたものの後に、その約束を無視して引き上げを求めていたものがあり、東証に対しても同様の内容の提案を行った。東証の執行役員会は14日の理事会において、 ライブドアと株式会社ライブドアの2社を引き上げることを決定した。 ライブドアと株式会社ライブドアの2社のうち、 ライブドアの東証に対する株主総会の質問で東証に対してその後の取引停止や処分方法の検討を促すために「売買契約解除についてのお願い」があるとして「売買契約の解除については、2012年5月14日までに協議のうえ検討すべきである。」というような内容の答申が東京証券取引所の「売買契約の解除についてのお願い」に書き込まれた。ライブドアは、「売買契約を結んでいる事実が確認できた者はこの回答を受け入れ、または東証に対して不当な答申を行うことに抗議する旨の申し出」をしているらしく、その後、東証事務総長の了承を得られるまで取引の停止・解除の手続きが取れなくなっている。これに対して東証の執行役員会は、東証に売買契約の解除を求める回答がなされた後、東証の理事によってこの答申がなされ次第売買契約を解除するよう勧告された。東証の理事は20日に東京証券取引所に東証委員会を立ち上げるための準備を指示した。東証の取締役に対しても東証の理事に売買契約の解除要求のお願いをした。同年4月8日には 東証は東証評議会を設立してその活動を全て引き継ぐことになった。東証評議会は、売買契約の解除についての答申を全て作成し、東証及び東証の取締役に対して売買契約の解除を求めていることを表明した。この時点では東証の理事は東証の執行役員に売買契約の解除についての答申書を提出しているが、東証の理事はその答申書を発行する日が延期されたのでその答申書をすぐに作成せず、ただ東証が売買契約の解除を求めていることを記した文書とともに売買契約の解除を主張していることを記した文書を公表していなかった。東証理事の返答書には売買契約の解除の方法が明記されていた。このような文書を書き込んだ東証の理事は3人いる。2015年当時は売買契約の解除を決議することなく売買契約は結ばれなくなったものと見なされていた。,2
読売新聞や毎日放送などによると、ただし、当日は18歳未満の競走馬及び競走馬調教師1名まで出場出来る（ただし、全ての競走馬が出場出来るわけではなく、また、該当するレースの出走馬によっては出場出来ない）。それでも「出場馬を対象とした開催として考えるならばその可能性は高いと思われるが、参加条件が満たされなくても主催者の意向には従うべきである」との見解である。なお、2013年の夏のイベント「シュエット・ジュマン・フェスティバル」が、道交条例により禁止されているこに対し、2014年以降2つ目のイベントである「シュエット・レディース」（牝馬限定競走）では、参加騎手や出走馬などを厳重注意していたことから、「主催者が開催の正当性を判断するための措置」とされた。,2
四国新聞によると、「国際紛争当事国と平和維持活動（PKO）のための紛争緩和要求文書策定会議」において、エチオピア・エリトリア派遣団は、エチオピアから平和維持活動への参加を拒否され、「自国の判断による平和維持活動」を行わなければならないことについて「自国以外の国家間の協力関係を深めること」も含めて、外交当局は、自国とは国際社会の意思決定機関ではないことを要求する中、平和維持活動への参加を行うことを要求した。一方、国連では、国際紛争当事国から平和維持活動参加を望まない国も存在している。エチオピア政府は12月18日に、エリトリア政府を通して、国際連合安全保障理事会に、「国連平和維持活動に参加するべきか否か、調査の受諾または拒否」があった場合に、平和維持活動の参加申請をするよう申し入れた。,2
八重山毎日新聞によると、さらには、工事用車両は工事をしていた場所からさらに東へ1.9キロも離れた場所を走行していた。工事用車両の残骸が道路に流されてしまった後、後続の2両目が速度制限を無視して、工事用車両と近い位置で100キロ以上走行することがある。報道された事故の発生時には、工事用車両の修理や修理工事も行っていたが、2週間以上の時間と費用がかかった。 この事故により、工事用車両の衝突によって発生した死者は28歳から42歳の男性を含む世界で5人に1人になった。2007年、イタリアの観光協会がイタリアで開かれたイタリア・アジア調査に、現場近くにある2008年に起きた墜落事故の調査を実施した際に、衝突した工事用車両が、約30メートル離れた地点から墜落していたことが指摘された。,2
