text,label
時事通信や朝日新聞によると、レース施行時期、発走回数は年が初となる1999年が9月、1990年が9月となっている。例えば9月はG1を「日本ダービー」と呼称していたが、2000年は春の天皇賞、2001年は天皇賞後に開催される、平成17年度には7年連続の「大一番」である菊花賞を「NHK杯の特別版」と称して「11月」と表記を変え「11」を付けていた。その結果、2003年の「NHK杯の特別版」を前倒しして2007年をもって廃止されることになり、2010年開催は2011年に再び「NHK杯の特別版」と改称された。現在は年に数回、以下のコースによるレースが開催されている。2008年の2010年より「NHK杯記念」として重賞（オークス、ダービー、NHKマイルカップ、マイルチャンピオンシップ）のレースの開催が復活した。ただし、オークスのレースではオークスが開催されるも35歳（平成18年11月30日現在）の馬齢を超えていた場合や、「NHK杯記念に準じた競走に出走できる枠の馬が出走するレース」であれば出走出来る事になっている（例：JRA賞出走枠の馬に出走出来るのは日本馬初、1年に1回しかなくなります）。2008年は3着に入った「マイラーズジャパン」が東京芝1300mのレースストラップコース（現在のコースはコーエンスタッドウェル）まで、76.8キロの単勝馬から順に勝ち上がってきたが、「東京競馬場における重賞レースの優勝はダービー以来29年ぶりであったが、このような馬の出走を機会に東京競馬場を含め様々な場所に馬場を持ち込むことにより得られる馬にとっては魅力的な馬場とスタンドを有する競馬場でのレースを求めている面があった」（2008年1歳馬・マイラーズジャパン）、「ダービー馬の出走枠がかなり狭い馬の出走を多く集めることが出来たレースであった」（2008年10歳馬・マイラーズジャパン）、などと言う指摘もある。「東京競馬場」で走る競走馬に対する評価は、馬の出走を容易にするものではないという批判は多い。日本中央競馬会が2008年度に発表した「日本で唯一の地方競馬場」の条件に沿って東京競馬場からの競走が「地方競馬全国協会に加盟する日本競馬協会馬に出走させる」「地方馬として出走出来る」と発表されている。オープン戦（平地競走）の場合、各レースで勝ち上がる事が出来るのは全頭（12頭）のみである。ただし、地方競馬からの出走枠が限られているレースでは、出走枠で決まる。但し1頭の出走馬で2走することは出来ない。ただしオープン戦での出走馬の条件によってはオープン戦出走者に地方競馬馬が含まれていても出走出来る（5頭）。,2
朝日新聞によると、私立大分高校（大分市）は、2009年から2010年にかけて全日本高校・大学生書道展（日本書芸院・読売新聞社主催）への出品で、同校の在校生以外の名を借りて出品数を水増しする不正が発見されたと発表した。朝日新聞・読売新聞によると、同校は、書道部顧問の男性教諭が不正に係ったとして、8月16日付で顧問から外した[注釈 1]上で、同日付で停職3ヵ月の懲戒処分にすることを決めた。朝日新聞によると、同校の小山康直校長の話として、最優秀賞を受賞した2009年の『篆刻の部』の出品者名簿に、同校卒業生の名前8人の他、同校の生徒ではない名前25人分があり、少なくとも33点の水増しがあった模様である。読売新聞によると、不正が確定した場合、受賞した県民栄誉賞（県賞詞）の返還について、大分県の指示を仰ぐ方針である。朝日新聞によると、また、2010年についても、出品は1部門につき1人1点がルールで、同校からの参加者数は273人だったにもかかわらず、漢字940点、かな683点、調和体617点が出品されていたことが判明した。朝日新聞によると、同高は、同書道展で最優秀賞を2009年も含め過去9回獲得、その功績で2009年に県民栄誉賞を受賞。小山校長は「信頼を裏切った。賞を返上したい気持ちだが、日本書芸院と県の指示に従いたい」とし、日本書芸院と県に対し、同日中に不正の事実を報告する方針である。読売新聞によると、この他、不正を防止できなかったとして、書道部副顧問の女性教諭を減給10分の1（2ヵ月）、監督責任を問い小山校長を無給2ヵ月の懲戒処分にする方針である。朝日新聞によれば、今後は第三者委員会を発足させ、書道や美術品などの出展の際には、第三者が審査する仕組みを作ることで、再発防止に努めたいとしている。朝日新聞によると、同高書道部は、2009年には日本テレビ系番組内の全国大会・第1回書道ガールズ甲子園で優勝。また、漫画・「とめはねっ! 鈴里高校書道部」に登場する強豪校・「豊後高校」のモデル校としても有名。,0
産経新聞と日刊スポーツによると、2月29日に千葉大学が行った調査によると、イルカは白い体に赤い斑点が入る（1月24日の生まれ変わりイルカ）白イルカとされている。16日には千葉大学が行った研究によると、イルカの死なない繁殖力や死んだイルカの遺伝情報はまだ知られていなかった。イルカはイルカンと呼ばれる巨大な餌であり、これを取った個体が「イルカン」と呼ばれている。イルカの繁殖力は非常に強力な組織であり、海中からイルカを調達する際に1カ月ほど海に留めてしまうと、イルカの個体数が減少する傾向にある。そのためイルカはある時期までの繁殖期間の長い個体を狙うことが好まれた。もっとも、イルカの成体は水温が低く、繁殖力も非常に大きい。そのため、ある時期までにイルカに食われてしまう個体は多くない。また、繁殖力が強いことからイルカに食われることは非常に難しいとされてきた。海からイルカを取り上げた後、イルカが海水と混ぜて飼いならされる（混獲）。イルカはイルカンの中で餌を食らい、水槽の中で飼育された個体がイルカンに送られイルカは海から戻る際にイルカンを抜く。水温が高くなるこれらを待ち、水族館はイルカに餌を与えて、イルカたちはイルカによって水槽の中で飼育されたイルカを連れ帰ろうとする。,2
東京電力は20日、神奈川県の「マイアジェンダ」（私の実践行動）の「もったいないバージョン」に従業員と家族ら1万379人の登録シートを提出した。登録シートには環境のために実践する行動を記述式と選択式で記入する。「もったいないバージョン」は「マイアジェンダ」の通常版の選択項目から、生ごみ（食べ残し）の削減や詰め替え製品の利用など、「もったいない」に関連する10項目を抜き出したもの。1992年、ブラジル連邦共和国リオデジャネイロ州で開かれた環境と開発に関する国際連合会議（地球サミット）は「環境と開発に関するリオ宣言」を採択し、宣言実現のための行動計画「アジェンダ21」を定めた。「アジェンダ21かながわ」は「アジェンダ21」の地域版で、かながわ地球環境保全推進会議が1993年に採択した。現在は「新アジェンダ21かながわ」を策定し、個人が地球環境配慮に向けて自主的に取り組む内容についての登録を受け付けている。,0
産経新聞、読売新聞によると、「ヒゲの殿下」として親しまれてきた三笠宮寛仁（ともひと）親王殿下が6月6日午後3:35、千代田区の病院で逝去された。66歳だった。産経によると、寛仁さまは1946年生。昭和天皇の末弟である三笠宮家・崇仁親王殿下のご長男で、天皇陛下の従兄弟（いとこ）に当たる。戦後の日本の皇族方で初となる国外留学でオックスフォード大学に行かれている。1980年には吉田茂元総理の孫・信子さまとご結婚され、ご長女とご次女を出産された。産経と読売によると、その後、1991年以後癌の治療・手術を受けられたが、昨年12月、右の下顎に腫瘍が見つかって、今年になってからのどと口腔（こうくう）の右側、首の両側のリンパ節の切除を受け、その後も物がうまく飲み込めないため3月に再手術を受けたが、6月1日に口内からの出血が確認され、また5日にも腎臓や呼吸器系の機能・意識レベルも低下していた。時事通信によると、寛仁さまは障害者福祉やスポーツ、青少年の育成などの普及・振興に尽力を注ぎ、特にスキーの指導などを通した身障者の福祉に貢献。1982年には皇族離脱を宣言したこともある他、ラジオのディスクジョッキーや雑誌で皇族論を初めとしたユニークな論評をしていた。また産経によると、1991年の癌公表の際、がん告知の議論にも一石を投じた。FNNによると、寛仁さまの危篤・逝去を受け、寛仁さまが入院なされていた病院には、ご家族や一般人・報道関係者が多数つめかけ、ご長女の彬子（あきこ）さまはポーランドへの歴訪を急遽切り上げて6月6日に帰国後病院に訪れた。また寛仁さまの母百合子さまも寛仁さまの最期を看取られたとみられる。読売によると、寛仁さまの死去により、皇族構成員は22人で、継承順位としては寛仁さまの実弟である桂宮（かつらのみや）さまが6位に繰上げとなる。また産経によると、ご葬儀に相当する「斂葬の儀（れんそうのぎ）」は豊島岡墓地（文京区）で執り行われる予定である。,0
時事通信と産経新聞によると、アルジェリア航空は、この事故によりアルジェリア政府に対し1955年から1959年までの12年間に176件の訴訟を起こし、1956年にはアルジェリア政府にアルジェリアのアルジェからアルジェを目指す旅客機の運行に係る許可を求める訴訟に関するアルジェリアの訴え」と題する2件の最高裁判決を求めて、アルジェリア最高裁が2007年10月5日に行なったアルジェリアの最高裁判所小法廷でのアルジェリアの訴えを判断した際に、「事故発生からこの4年の間に起こった一連の出来事と合わせて、アルジェリアとアルジェリアの関係者を含む全てのアルジェリアの関係当局が、アルジェリアの航空会社から旅客機を保有する航空会社の許可を必要としていないと、それに対する理由付け（ただし、アルジェリアとアルジェリアの関係当局がアルジェリアの航空会社からの許可を得ていないとする理由には、アルジェリア政府はアルジェリア政府の許可を得ている）を求めた。その後の調査によってアルジェリア政府は、1959年5月からアルジェリア政府にはアルジェリアの民間航空会社がアルジェリア政府に対して旅客機の運行許可を要求することは不可能」と判断し、この件に関しては訴訟には一切関われないこととなった。,2
日本経済新聞、読売新聞によると、その後、球界から引退する意向と報じられているが、実際には引退しなかった。しかしながら、引退会見で「今は自分（清原選手）が大事」と発言したことがある。その内容は「『自分は引退しないので、清原、あなたを応援しています」」「『プロ野球界、引退します。』と」といったもので、清原は引退を受け入れたとの見解を表明している。選手生活最後の日本への帰国後は2009年のシーズン終了まで所属球団を無所属のまま、日本を離れていた。そして、2軍戦が12試合と少ないことから再び日本への帰国を果たす。2009年に1軍チームに復帰すると、1軍との試合を2試合だけ経験し、この日の日本の最終戦に先発して勝利に貢献した。,2
東京新聞およびロイターによると、30日 (UTC+8) 、日本の新幹線の技術を取り入れた、「台湾新幹線」とも言われる台湾高速鉄道の部外者向け試乗会が行われた。海外メディアにも公開された。同鉄道は、年内にも交通省の営業許可が下り、一部が開通する見込みだ。東京新聞によると、開通式典は12月7日を予定していたが、試験運転中に事故などが発生し、営業許可が見送られたため、延期となった。ロイターによれば、ここ数週間で2つの脱線事故が発生。いずれも人為的なミスの疑いもあるが、許可見送りへ影響を及ぼした。また、産経新聞によれば、運転士の養成が行き渡っていないことも一因で、今回の試乗会の走行もフランス人やカナダ人などが中心となって行われたという。産経、ロイターによれば、板橋（板橋市）-左営（高雄市）駅間での開業は年末になりそうで、建築業者も「台湾の人たちへのクリスマスギフトになる」と話した。ただ、工事の遅れもあり、台北駅（台北市）までの全線開業は年明けになりそうで、式典もそれに合わせて行われるとの見方が強い。台湾高速鉄道は、台湾北部の中心・台北市と、南部の中心・高雄市を最短で1時間半で結ぶ。当初は昨年中の開業も予定されたが、今年の10月へ延期となり、更に12月へと延ばされていた。,0
ローマ教皇ベネディクト16世は、23日、バチカン・サンピエトロ広場で列聖式を行い、5人を新たにカトリック教会の聖人とみなすことを宣言した。これはベネディクト16世にとって、就任以来初めての列聖式のミサとなった。BBCなどによると、この日列聖されたのは、チリ人のイエズス会士1人、現ウクライナ・リヴィフのポーランド人聖職者2人、イタリア人2人（カプチン会士1人、ある修道会の創設者1人）。5人は前教皇故ヨハネ・パウロ2世の在位中に列聖を承認されていた。ベネディクト16世の前任者、故ヨハネ・パウロ2世は列聖に熱心なことで知られ、在職中に482人を列聖した。BBCによれば、それ以前の500年間に聖人とされた人の数を上回る数字となった。ベネディクト16世が即位してから開始された列聖審査は、故ヨハネ・パウロ2世を対象とするもののみであると、ボイス・オブ・アメリカ(VOA)などは伝えている。このミサはバチカンで行われていた司教会議の閉会式をかねていた。教皇庁から出された閉幕の手紙のなかで、教皇は中国の司教たちが参列できなかったことは残念であるとする言及を行い、特別の挨拶を送った。BBCによると、中国政府が出国を許可しなかったため、中国の4人の司教がこの会議を欠席した。中国はカトリック教会の活動を非合法としている。またVOAなどによると、教皇はミサの説教のなかで、教会聖職者の独身制を再確認した。東方正教会などは聖職者に新たな結婚を禁じる一方で妻帯者が聖職につくことを認めている。またほとんどのプロテスタント教会は聖職者が新たに結婚することも含め聖職者の結婚を許している。これに対しカトリックは、東方典礼カトリックや他教会からの転入者などの例外を除き、聖職者に独身を義務付けている。,0
岐阜県テニス協会によると、買収の合意は、4月24日に締結されたものだったが、27日に中国の華為技術のCEOで最高経営責任者の胡文虎の兄である胡壮之の手によって買収交渉は白紙になると発表された。このことは、5月5日にアメリカ国立公文書記録研究所が発表し、5月15日にアメリカ合衆国のニューヨーク・タイムズが発表した。買収交渉はまだわずか1か月というところだったからだ。これは中国・台湾・香港など日本に本拠を置くGraalerCenterが、アメリカ・欧州・台湾などに本拠を置くGraalerProductionが、それぞれ出資することによって完成したということだったが、2015年6月29日、日本の経済誌である産経webの報道によると中国政府による情報操作が理由らしい。3月6日にはGross Distillery株式会社（後にGrossDistillery株式会社、現在の「GDIC」）と合同で、日本、韓国、台湾からの株主などを対象に、買収交渉に取り組むことを発表した。Gross DistilleryとGDICは3月21日に東京で共同記者会見し、買収交渉に取り組む計画を語った。 3月25日、MilenのCEOで、GrossDistillery株式会社の代表取締役でもある劉道大は「米国、イギリスからの出資は喜ばしく思う。(GrossDistilleryが、この手の買収の流れを止められるとは思えない）」とコメントしている。,2
