text,label
いつもお世話になっております。XYZ商事の伊藤です。研究テーマについてご相談があります。,0
お忙しいところ恐れ入りますが、研究テーマについてのご回答をお待ちしております。,0
昨日の歓迎会の議事録を共有します。次回は金曜日の10時を予定しています。,0
お客様のクレジットカード情報が漏洩した可能性があります。至急確認→http://free-offer.net,1
週末のバーベキューの件ですが、飲み物は私が持っていきます。他に必要なものはありますか？,0
今だけ空気清浄機を無料でお試し！30日間の無料トライアル実施中→http://get-money.info,1
今日のディナーはいつもの定食屋に行きませんか？焼肉が美味しいらしいです。,0
今月の運動会の日程ですが、木曜日の17時は��かがでしょうか。駅前のレストランを予約します。,0
簡単作業で日給20万円！転売ビジネスの詳細はこちら→http://secure-check.net,1
トップアスリートも愛用！サプリメントで30日で8キロ減！今なら初回90%OFF→http://abc123.xyz,1
家族で駅前のレストランに会議に行ってきました。天気もよくて、とても有意義だったでした。,0
今すぐ30万円が手に入る！コピペ作業で簡単に稼げます。詳細は→http://free-offer.net,1
週末のバーベキューの件ですが、プレゼントは私が持っていきます。他に必要なものはありますか？,0
有名女優も愛用！浄水器で7日で8キロ減！今なら初回80%OFF→http://free-offer.net,1
本日の運動会は悪天候のため、室内開催に変更させていただきます。ご了承ください。,0
松本様、ご注文いただいたプレゼントの発送が完了しました。到着予定は木曜日です。,0
ご連絡ありがとうございます。プロジェクトAについて検討した結果、前向きに検討中となりました。,0
有名女優も愛用！美容クリームで30日で3キロ減！今なら初回70%OFF→http://get-money.info,1
お疲れ様です。売上分析の件ですが、金曜日の10時に打ち合わせを設定しました。ご都合いかがでしょうか。,0
高橋さんがあなたのプロフィールを見ました。会員サイトでメッセージを確認→http://get-money.info,1
あなたに5件の友達申請が届いています。コミュニティサイトで確認→http://abc123.xyz,1
【驚愕】育毛剤を飲むだけで10キロ減！口コミで話題沸騰→http://win-prize.com,1
【当選確定】特別抽選会で300万円が当たりました！受取手続きはこちら→http://point-get.jp,1
【驚愕】育毛剤を飲むだけで8キロ減！口コミで話題沸騰→http://secure-check.net,1
あなたに5件の友達申請が届いています。出会いサイトで確認→http://get-money.info,1
明日の送別会ですが、居酒屋に13時集合でよろしいでしょうか。参加者は15名です。,0
お忙しいところ恐れ入りますが、卒業論文についてのご回答をお待ちしております。,0
ご連絡ありがとうございます。研究テーマについて検討した結果、了承済みとなりました。,0
【警告】お使いのスマートフォンのセキュリティが危険な状態です。至急対応してください→http://get-money.info,1
お客様のクレジットカード情報が漏洩した可能性があります。至急確認→http://point-get.jp,1
人気モデルも愛用！健康食品で30日で5キロ減！今なら初回90%OFF→http://point-get.jp,1
子どもの歓迎会が木曜日にあるので、11時に早退させてください。,0
本日の研修は雨のため、室内開催に変更させていただきます。ご了承ください。,0
